MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367456880,2020-01-01T00:00:10,38.94146,-90.34705,4.5,305.5,511,LUKE BURTON,IMO7318913,WDF4886,31,0,43,10,,31,A
367744570,2020-01-01T00:00:09,37.08332,-89.15985,0,341,35,TIM CULP,,WDI9029,31,15,,,,,A
367701380,2020-01-01T00:00:13,29.64235,-91.36145,6.1,96,91,ST PHILLIP,,WDI4731,31,0,23,,,,A
367477410,2020-01-01T00:00:00,39.25929,-74.99115,0,360,511,VISION,IMO8990976,WDF6746,90,0,17,7,,,A
316005175,2020-01-01T00:00:00,48.41456,-123.38655,0,296.2,511,PACIFIC PILOT TWO,,CG2436,0,0,18,5,2.3,0,A
367053620,2020-01-01T00:00:06,29.56838,-89.7911,20.1,122.5,511,MISS EFFIE,,WYR3654,60,0,13,4,,,A
366760650,2020-01-01T00:00:02,33.75277,-118.2215,0.1,234.4,75,LEADER,IMO9188568,WCY8495,31,0,31,10,4.3,52,A
367169320,2020-01-01T00:00:04,38.85198,-90.11237,0,248,511,PAT PICKETT,,WDD6184,31,0,22,8,,,A
367649630,2020-01-01T00:00:05,41.72451,-87.53999,0,0,511,MASSACHUSETTS,,WDH7590,31,15,24,6,,,A
367598830,2020-01-01T00:00:13,26.21349,-80.04214,6.6,6.9,511,LADY JOYELLE,,WDH2555,31,0,20,,,,A
366954170,2020-01-01T00:00:09,29.86585,-89.93284,0,78.9,511,OLGA G STONE,,WBS3207,31,15,18,7,,,A
369342000,2020-01-01T00:00:07,29.64343,-91.10271,0,158.7,511,PRIDE,,WDJ9627,79,0,31,7,2.7,79,A
366940480,2020-01-01T00:00:08,51.86152,-176.63798,0.1,74.7,176,EARLY DAWN,IMO7821130,WDB7319,30,7,32,8,4,,A
369881100,2020-01-01T00:00:05,29.05211,-90.09995,3.5,189,182,,,,,15,,,,,A
367788560,2020-01-01T00:00:15,46.20734,-123.38736,0,98.1,511,MARK O HATFIELD,,WDJ5531,54,,,,,,B
368123180,2020-01-01T00:00:05,29.7218,-94.9414,0,360,511,,,,,7,,,,,A
67649790,2020-01-01T00:00:06,41.72427,-87.54009,0,0,511,,,,,0,,,,,A
366891960,2020-01-01T00:00:16,30.39783,-81.552,0.1,223.1,511,KALEEN MCALLISTER,IMO8981810,WDB3847,31,0,33,8,4.1,,A
303657000,2020-01-01T00:00:06,38.64272,-74.02141,12.5,191.8,191,MAERSK KENSINGTON,IMO9333010,WMKN,70,0,299,40,12,70,A
367789860,2020-01-01T00:00:09,35.52344,-95.12583,0,360,511,MERLIN MCCOY,,WDJ5644,90,3,,,,,A
366909530,2020-01-01T00:00:00,43.65766,-70.24792,0.1,297.5,511,RODERICK MCALLISTER,IMO6807216,WDB5428,31,0,32,8,3.8,52,A
367057310,2020-01-01T00:00:10,29.84177,-92.33072,3.1,99.2,101,MISS BOBBIE FUGIT,,WDC6509,31,0,25,9,,31,A
367197390,2020-01-01T00:00:11,29.76886,-91.75871,1.3,5.7,511,CELESTE LOUISE,,WDD8296,31,0,16,5,,31,A
367183020,2020-01-01T00:00:12,30.0247,-94.02982,6.3,145.3,129,BUCCANEER,IMO9397406,WDD7185,31,0,29,10,3.7,90,A
366996630,2020-01-01T00:00:12,27.8247,-97.43678,0,223.9,511,PECOS,,WDC2706,31,0,21,7,,57,A
366983480,2020-01-01T00:00:12,30.05137,-90.66688,0,99.3,511,MARGARET F COOPER,,WDB9825,31,0,29,8,,,A
369970735,2020-01-01T00:00:04,37.18074,-89.06959,0,360,511,OLM-0032,,AEOS,,0,,,,,A
